#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
46,勉強,べんきょう,"Noun, Suru verb",to study,あなたはいつ勉強を始めましたか？,When did you start studying?
47,便利,べんり,な-adjective,convenient; handy; useful,私にとっては便利です。,It is convenient for me.
48,ボールペン,,"Noun, Katakana",ball-point pen,ボールペンで書いてください。,Write with a ballpoint pen.
49,ボタン,,"Noun, Katakana",button,そのボタンを押さないでください。,Please don't press that button.
50,帽子,ぼうし,Noun,hat; cap,この帽子は小さいですね。,"This hat is a bit small, eh?"
51,文章,ぶんしょう,Noun,sentence,私は文章が下手です。,I am bad at compositions.
52,豚肉,ぶたにく,Noun,pork,彼らはぶたにくチョップのスペシャルを注文した。,They ordered a pork chop special.
53,病院,びょういん,Noun,hospital,私は今日病院へ行きました。,I went to the hospital today.
54,病気,びょうき,Noun,illness; disease; sickness,私の病気は治った。,I recovered from my illness.
55,茶色,ちゃいろ,Noun,brown,彼女の目はちゃいろです。,Her eyes are brown.
56,茶碗,ちゃわん,Noun,rice bowl; tea cup; teacup,この茶碗は10年間使ったよ。,I used this bowl for 10 years.
57,父,ちち,Noun,father,父は元気です。,My father is in good health.
58,違う,ちがう,"Verb, Godan verb, Intransitive verb",to differ,私たちは違うほうこうを見ています。,We are looking in a different direction.
59,小さい,ちいさい,"Adjective, い-adjective",small; little; tiny,私はあなたよりも背が小さいです。,I am even shorter than you.
60,小さな,ちいさな,Pre-noun adjectival,small; little; tiny​,これらの本はどれも小さな子どもたちでも読めます。,All of these books can be read by small children.
61,近い,ちかい,い-adjective,near; close,私の家とあなたの家は近いですね。,So your house and my house are close.
62,地下鉄,ちかてつ,Noun,subway; underground train,私は地下鉄で学校に行く。,I go to school by subway.
63,地図,ちず,Noun,map,あなたは書いた地図が本当に分かりやすいですよ。,The map you drew is really easy to follow.
64,ちょっと,,Adverb,a little,ちょっと待ってください。,Please wait just a moment.
65,丁度,ちょうど,Adverb,exactly,私もちょうどあなたの事を考えていました。,I was just thinking about you too.
66,台所,だいどころ,Noun,kitchen,うちでは朝食をだいどころで食べる。,We have breakfast in the kitchen.
67,大学,だいがく,Noun,university; college,この大学のキャンパスは広いですね。,This university campus is really big/spacious.
68,大丈夫,だいじょうぶ,"Adjective, な-adjective, Adverb",OK; okay; alright; problem free,これで大丈夫でしょうか。,Is this okay? / Will this do?
69,大好き,だいすき,"Adjective, な-adjective",love; like; like very much,私はあなたが大好きです。,I love you.
70,だんだん,,Adverb,gradually,私はだんだん太ってきている。,I'm gradually getting fatter.
71,誰,だれ,Pronoun,who,誰を待っているのですか？,Who are you waiting for?
72,誰か,だれか,Pronoun,someone; somebody,仕事は早いですね！誰かが手伝ったの？,Work is fast! Did someone help?
73,出す,だす,"Verb, Godan verb, Transitive verb",to take out; to get out; to put out; to reveal,校長室へ呼び出された。,I was called into the principal's office.
74,出口,でぐち,Noun,exit; gateway; way out,私はその駅の2番出口であなたをお待ちしています。,I'm waiting for you at exit #2 at the station.
75,出かける,でかける,"Verb, Ichidan verb, Intransitive verb",to go out; to leave; to depart,散歩に出かける。,I'm gonna go out for a walk.
76,電気,でんき,Noun,electricity,ガスは電気より経済的です。,Gas is more economical than electricity.
77,電車,でんしゃ,Noun,train; electric train,電車が20分遅れた。,The train was 20 minutes late.
78,電話,でんわ,"Noun, Verb, Suru verb",telephone (call / device)l; phone call,電話ですよ。,You have a call.
79,デパート,,"Noun, Katakana",department store,私はデパートで服を買いました。,I bought clothes from the department store.
80,出る,でる,"Verb, Ichidan verb, Intransitive verb",to leave; to exit; to appear; to go out,家を出る。,To leave home.
81,ドア,,"Noun, Katakana",door,私のしごとは車のドアを作ることです。,My job is to make a car door.
82,どっち,,Pronoun,which; which one,どっちの食べ物が好きですか？,Which food do you like?
83,どちら,,Pronoun,which of two,トイレはどちらでしょうか。,Where's the rest room?
84,どこ,,Pronoun,where; what place​,明日はどこで会いますか？,Where will you meet tomorrow?
85,どなた,,Noun,who,今のでんわのあいてはどなたですか。,Who did you speak to on the phone just now?
86,どの,,Pre-noun adjectival,which,どの車にお乗りですか。,Which car will you take?
87,どれ,,Pronoun,which (of three or more)​,あの中でどれが一番いいですか？,Which one out of those is the best one?
88,どう,,Adverb,how; in what way; how about​,新しいしごとはどうですか。,How is your new job?
89,動物,どうぶつ,Noun,animal,それは私の一番好きな動物です。,That is my favorite animal.
90,どうも,,Adverb,thank you; thanks,今日はどうもありがとうございました。,Thank you for today.
91,どうぞ,,Adverb,please,どうぞ食べてください。,Please try it.
92,土曜日,どようび,Noun,Saturday,土曜日にサッカーの試合がある。,I have a soccer match on Saturday.
93,絵,え,Noun,picture,この絵は誰が描いたのですか？,Who drew this picture?
94,ええ,,Noun,yes; that is correct; right,ええ、昨日行ったわ。,"Yes, I went yesterday."
95,映画,えいが,Noun,movie; film,この映画はどうでしたか。,How do you like this movie?
96,映画館,えいがかん,Noun,movie theater; cinema,最近は映画館へ行っていない。,I haven't gone to the movie theater lately.
97,英語,えいご,Noun,English language,私は英語の教師です。,I am an English teacher.
98,駅,えき,Noun,station,えきはここから車で10分です。,The station is a ten minutes' drive from here.
99,鉛筆,えんぴつ,Noun,pencil,えんぴつで書いてください。,Please write with a pencil.
100,エレベーター,,"Noun, Katakana",elevator,このエレベーターは 3 階で止まりますか。,Does this elevator stop at the third floor?
101,フィルム,,"Noun, Katakana",film,このフィルムは二枚残っている。,I have two exposures left on this film.
102,フォーク,,"Noun, Katakana",fork,私はフォークを使うのがにがてです。,I am bad at using forks.
103,吹く,ふく,"Verb, Godan verb, Intransitive verb",to blow (of the wind),昨日はつよい風がふいた。,A strong wind blew yesterday.
104,服,ふく,Noun,clothes,私は緑の服を着ています。,I am wearing green clothes.
105,降る,ふる,"Verb, Godan verb, Intransitive verb",to fall,帰りに雨が降るから傘を持って行きなさい。,Take your umbrella with you as it will rain on your way home.
106,古い,ふるい,い-adjective,old (not used for people),この車は古いです。,This car is old.
107,二人,ふたり,Noun,two people; pair; couple,二人は結婚した。,They got married.
108,二つ,ふたつ,"Noun, Numeric",two; 2,2つのうちどちらが安いですか？,Which is cheaper of the two?
109,太い,ふとい,"Adjective, い-adjective",fat; thick,俺は指が太いから、小さなキーボードじゃだめなんだよ。,"I have chubby fingers, so I can't use a small keyboard."
110,二日,ふつか,Noun,the second day of the month / 2 days,私の誕生日は二月二日です。,My birthday is February second.
111,封筒,ふうとう,Noun,envelope,すみません、ふうとうがありますか？,"Excuse me, do you have an envelope?"
112,冬,ふゆ,Noun,winter,冬は湖水に氷が張る。,The lake freezes over in winter.
113,外国,がいこく,Noun,foreign country,私は外国に住んだことがあります。,I have lived abroad before.
114,外国人,がいこくじん,Noun,foreigner; foreign citizen; foreign national; alien; non-Japanese,私は外国人と話したことがない。,I have never spoken to a foreigner before.
115,学校,がっこう,Noun,school,私はそこで学校の友達とたくさん会えました。,I was able to meet a lot of my friends there.
116,学生,がくせい,Noun,student,私は学生です。,I am a student.
117,玄関,げんかん,Noun,entrance,かさはげんかんに置いてください。,Please leave your umbrella at the entrance.
118,元気,げんき,"Noun, Adjective, な-adjective",lively; full of spirit; energetic; healthy,彼は元気なように見えた。,He seemed upbeet.
119,月曜日,げつようび,Noun,Monday,月曜日が嫌いだ。,I hate Mondays.
120,銀行,ぎんこう,Noun,bank,あなたはその銀行がどこにあるか知っていますか？,Do you know where that bank is?
121,ギター,,"Noun, Katakana",guitar,あなたはギターを持っていますか？,Do you have a guitar?
122,五,ご,"Noun, Numeric",five; 5,私が車でここから東京に行くのに五時間かかった。,It took me five hours to drive from here to Tokyo.
123,午後,ごご,Noun,afternoon; p.m.,今日の午後、何をするつもりですか？,What do you plan on doing this afternoon?
124,ご飯,ごはん,Noun,"cooked rice, meal",友だちにご飯をおごってもらった。,My friends treated me to a meal.
125,午前,ごぜん,Noun,morning; a.m.,私は午前6時に起きました,I woke up at 6 am.
126,グラム,,"Noun, Katakana",gram,すみません、300グラムぶたにくをください。,"Excuse me, please give me 300 grams of pork."
127,牛肉,ぎゅうにく,Noun,beef,この牛肉はとても美味しいです。,This beef is really good.
128,牛乳,ぎゅうにゅう,Noun,(cow's) milk,私は牛乳を飲みたい。,I want to drink milk.
129,歯,は,Noun,tooth,私は、はを磨いていない。,I haven't brushed my teeth.
130,八,はち,"Noun, Numeric",eight: 8,私たちは八人の家族です。,We are a family of 8.
131,葉書,はがき,Noun,postcard,このはがきはいくらですか？,How much is this postcard?
132,母,はは,Noun,mother,母は賛成だが父が反対だ。,"My mother is for it, but my father is against it."
133,はい,,Noun,yes; that is correct​,はい、かしこまりました。すぐに出発します。,"Yes, I got it. I will start right away."
134,入る,はいる,"Verb, Godan verb, Intransitive verb",to enter; to go into,先月から大学に入りました。,I entered university from last month.
135,灰皿,はいざら,Noun,ashtray,このはいざらの形は面白いですね。,The shape of this ashtray is interesting.
136,始まる,はじまる,"Verb, Godan verb, Intransitive verb",to begin,その映画は何時に始まるのですか？,What time does that movie start?
137,初めて,はじめて,Adverb,for the first time,私は初めてお好み焼きを作った。,I made okonomiyaki for the first time.
138,箱,はこ,Noun,box; crate,そのはこを持ちましょうか。,Shall I have that box?
139,履く,はく,"Verb, Godan verb, Transitive verb","to wear, to put on trousers",彼はちゃいろのズボンを履いています。,He is wearing brown trousers.
140,半,はん,Noun,half; semi-; half-past,彼は人生の大半を外国で過ごした。,He spent the majority of his life abroad.
141,花,はな,Noun,flower,これはとても美しい花です。,This is a very beautiful flower.
142,鼻,はな,Noun,nose,彼のはなが高いですね。,He has a high nose.
143,話,はなし,Noun,talk; speech; chat; conversation​,彼の話を信じますか？,Do you believe his story?
144,話す,はなす,"Verb, Godan verb, Transitive verb",to speak; to talk; to converse,あとで話します。,I will talk to you later.
145,半分,はんぶん,Noun,half,この本はほとんど半分読んだ。,I've read about half of this book.
146,ハンカチ,,"Noun, Katakana",handkerchief​,彼女はハンカチで顔のあせをふいた。,She mopped the sweat from her face with a handkerchief.
147,晴れ,はれ,Noun,clear weather,今日は久しぶりにはれでした。,It was the first clear day in a while today
148,晴れる,はれる,"Verb, Ichidan verb, Intransitive verb",to be sunny,今日は晴れるでしょうね。,Today will probably be sunny.
149,貼る,はる,"Verb, Godan verb, Transitive verb",to stick; to paste,私の仕事は切手を貼ることです。,My job is to put stamps.
150,春,はる,Noun,spring; springtime,バラは春に咲きます。,The roses bloom in spring.
151,箸,はし,Noun,chopsticks,私の箸はどこにあるか知っていますか？,Do you know where my chopsticks are?
152,橋,はし,Noun,bridge,彼の家ははしの向こうにあります。,His house is on the other side of the bridge.
153,走る,はしる,"Verb, Godan verb, Intransitive verb",to run,私は走るより歩くのほうが好きです。,I like walking better than running.
154,二十歳,はたち,Noun,20 years old; twenty years old,彼女は二十歳のときに最初の子供を産んだ。,She gave birth to her first child at twenty years old.
155,働く,はたらく,"Verb, Godan verb, Intransitive verb",to work,彼はかいがいで働いています。,He is working abroad.
156,二十日,はつか,Noun,twentieth day of the month / 20 days,私の誕生日は十月二十日です。,My birthday is October 20th.
157,早い,はやい,"Adjective, い-adjective",fast; early,早く帰らなければならないのなら早く帰ってくる。,I'll come home earlier if I must.
158,速い,はやい,"Adjective, い-adjective",fast; quick; hasty; brisk,かのじょはクラスの中で一番足が速い。,She is the fastest one in our class.
159,辺,へん,Noun,area,彼はどこかこの辺に住んでいる。,He lives somewhere around [near] here.
160,下手,へた,"Noun, Adjective, な-adjective",unskillful; poor; awkward​,日本語が下手です。,I am no good at Japanese.
161,部屋,へや,Noun,room,多分この部屋です。,It is probably this room.
162,左,ひだり,Noun,left; left hand side,少しあなたの左に寄ってください。,Please move a little to your left.
163,東,ひがし,Noun,east,太陽は東から出る。,The sun rises in the east.
164,飛行機,ひこうき,Noun,airplane; aircraft,飛行機は午後7時着の予定だ。,The plane is scheduled to arrive at 7 pm.
165,引く,ひく,"Verb, Godan verb, Transitive verb",to pull,彼女はカーテンをわきに引いた。,She pulled the curtain aside.
166,弾く,ひく,"Verb, Godan verb, Transitive verb",to play,私のしゅみはベースを弾くことです。,My hobby is playing the bass.
167,低い,ひくい,い-adjective,"short,low",このプロジェクトのリスクは低いです。,The risk of this project is low.
168,暇,ひま,"Noun, な-adjective",free time,彼女は暇な時、おんがくを聞きます。,She listen to music in her free time.
169,広い,ひろい,い-adjective,spacious; vast; wide,彼女は広い部屋が欲しいです。,She wants a large room.
170,昼,ひる,Noun,noon; midday; daytime; lunch,昼食は食べましたか？,Have you eaten lunch?
171,昼ご飯,ひるごはん,Noun,lunch,もうお昼ご飯を食べた？,Did you eat lunch already?
172,人,ひと,Noun,person; human,私の母は家族の中で一番早く起きる人です。,My mom is the earliest person in the family to wake up.
173,一人,ひとり,"Noun, Adverb",one person​; alone; single,君は僕のただ 1人の友人だ。,You're my one and only true friend.
174,一つ,ひとつ,"Noun, Numeric",one thing; only,私はこれをもう一つ欲しいです。,I would like one more of this.
175,ほか,,Noun,"other (place, thing, person); the rest",これはほかの人に聞いてみますね。,I'll ask other people about this.
176,本,ほん,Noun,book; volume; script,この本は三回読んだ。,I have read this book 3 times.
177,本棚,ほんだな,Noun,bookshelf; bookcase,この本棚は組み立てやすいです。,This bookcase is easy to assemble.
178,本当,ほんとう,"Noun, Adjective, な-adjective",truth; reality; actuality; fact,そのニュースは本当なのだろうか。,Can the news be true?
179,欲しい,ほしい,"Adjective, い-adjective",want,私はじかんが欲しいです。,I want time.
180,細い,ほそい,"Adjective, い-adjective",thin; slender,あなたはどうしてそんなに細いのですか？,Why are you so thin?
181,ホテル,,"Noun, Katakana",hotel,ホテルまでどのくらいかかりますか？,How long will it take to the hotel?
182,百,ひゃく,"Noun, Numeric",100; hundred,このイベントにやく百人が来ました。,About 100 people came to this event.
183,一,いち,"Noun, Prefix, Suffix, Numeric",one; best; first; foremost; start,たい焼き一匹ください。,One taiyaki please.
184,一番,いちばん,"Noun, Adverb","number one; first; 1st, first place​; best; most​",秋が一番好きな季節です。,Fall is my favorite season.
185,一日,いちにち,"Noun, Adverbial Noun","one day, all day",いつもの一日だった。,Today was another routine day.
186,家,いえ,Noun,"house, residence, family",あなたの家はどこですか？,Where is your house?
187,いかが,,Adverb,how; in what way; how about​,お茶はいかがですか？,How about some tea?
188,池,いけ,Noun,pond,ここの池は魚が多いですね。,There are many fish in the pond here.
189,行く,いく,"Verb, Godan verb, Intransitive verb",to go; to move,次の旅行はイタリアに行ってみたい。,"For my next vacation, I'd like to visit Italy."
190,いくら,,"Noun, Adverb",how much?; how many?​,その車はいくらですか。,How much is that car?
191,いくつ,,Adverb,"how many?,how old?",それはいくつ売れましたか。,How many of those did you sell?
192,今,いま,"Noun, Adverbial Noun",now; the present time; soon,今日から学校が始まる。,School starts from today.
193,意味,いみ,Noun,meaning; significance; sense,それは無意味だ。,That is nonsense.
194,妹,いもうと,Noun,younger sister,わたしの部屋はいもうとと一緒に使っている。,I use the same room as my younger sister.
195,犬,いぬ,Noun,dog,私は犬を飼っています。,I have a dog
196,入れる,いれる,"Verb, Ichidan verb, Transitive verb",to put in; to let in; to take in; to bring in; to insert; to install,あなたはいつそれを手に入れましたか？,When did you get that?
197,入口,いりぐち,Noun,entrance; entry; gate,この建物の裏側にも別の入口があります。,This building has a separate entrance in the back side.
198,色,いろ,Noun,colour; color,この色はあなたに似合う。,This color becomes you.
199,色々,いろいろ,"Noun, Adjective, な-adjective, Adverb",various,私はいろいろな人の意見を聞きたい。,I want to ask various people's opinions.
200,居る,いる,"Verb, Ichidan verb, Intransitive verb","to be, to have",私はあなたが居るだけで幸せです。,I am happy just with you being here.
201,要る,いる,"Verb, Godan verb, Intransitive verb",to be needed,どのくらいお金が要るのですか.,How much money do you want?
202,医者,いしゃ,Noun,(medical) doctor; physician,医者が来ている。,The doctor has arrived.
203,忙しい,いそがしい,"Adjective, い-adjective",busy,お父さんはいつも忙しいです。日曜日だけに会えます。,My father is always busy. I can see him only on Sundays.
204,一緒,いっしょ,Noun,together; at the same time; same; identical,カラオケに一緒に行こう。,Let's go to karaoke together.
205,椅子,いす,Noun,chair,私の兄はいすを作っています。,My brother makes chairs.
206,痛い,いたい,"Adjective, い-adjective",painful; sore​,目が痛いの？病院に連れて行こうか？,Your eyes hurt? Shall I take you to the hospital?
207,いつ,,Pronoun,when,私たちはいつ会えますか。,When can we meet?
208,五日,いつか,Noun,the fifth day of the month / 5 days,私の誕生日は五月五日です。,My birthday is May 5th.
209,五つ,いつつ,"Noun, Numeric",five; 5,彼女はケーキを五つに分けた。,She divided the cake into five pieces.
210,言う,いう,"Verb, Godan verb",to say; to call,寝るまえに、『お休みなさい』と言います。,"Say ""Good night"" before you go to bed."
211,嫌,いや,"Noun, Adjective, な-adjective",unpleasant,あなたは妹と一緒に働くことは嫌ですか。,Do you not want to work with your younger sister?
212,じゃあ,,Conjunction,then; well; so; well then,じゃあ私の部屋に行きませんか？,So will you come to my room?
213,字引,じびき,Noun,dictionary,彼は生き字引と呼ばれている。,He is called a walking dictionary.
214,自分,じぶん,Pronoun,myself; yourself; oneself; himself; herself; i; me,これは彼女が自分で作ったバッグです。,This is a bag that she made by herself.
215,自動車,じどうしゃ,Noun,automobile; motorcar; motor vehicle; car,私の兄は自動車で学校へ行きます。,My older brother goes to school by car.
216,時間,じかん,Noun,time; hour(s),彼女は時間を守る人だ。,She is very punctual.
217,辞書,じしょ,Noun,dictionary,あなたの辞書を貸してくれませんか。,Would you please lend me your dictionary?
218,自転車,じてんしゃ,Noun,bicycle,毎日自転車で学校へ行きます。,I go to school every day by bicycle.
219,丈夫,じょうぶ,"Adjective, な-adjective","strong, durable",そのしょくたくは丈夫な木で作られています。,The table is made of strong wood.
220,上手,じょうず,"Noun, Adjective, な-adjective",skillful; skilled; proficient; good (at),上手ですね！,You're so good!
221,授業,じゅぎょう,"Noun, Suru verb",lesson; class work,彼は授業で寝ません。,He does not sleep in the class.
222,十,じゅう,"Noun, Numeric",ten; 10,私はそれを10回見たことになる。,I ended up seeing that 10 times.
223,かばん,,Noun,bag; basket​,彼はわたしのかばんを持ってくれた。,He helped me to carry the bag.
224,花瓶,かびん,Noun,a vase,花瓶を壊したのは君だったのか。,Was it you who broke the vase?
225,角,かど,Noun,a corner; angle​,僕はこの角で曲がります。,I turn at this corner.
226,帰る,かえる,"Verb, Godan verb, Intransitive verb",to go back​,私はらいしゅう、家に帰るつもりです。,I plan to go home next week.
227,返す,かえす,"Verb, Godan verb, Transitive verb",to return something,彼に私の本を返して欲しい。,I want him to return my book.
228,鍵,かぎ,Noun,key,そのかぎは机の上にある。,The key is on the desk.
229,階段,かいだん,Noun,stairs; stairway; staircase,彼はかいだんを登っている。,He is climbing stairs.
230,買い物,かいもの,Noun,shopping; purchased goods,今日、買い物に行きました。,I went shopping today.
231,会社,かいしゃ,Noun,company; corporation,いつか自分の会社を作りたい。,One day I want to make my own company.
232,掛かる,かかる,"Verb, Godan verb, Intransitive verb","to take (a resource, e.g. time or money)",ホテルまでどのくらいかかりますか？,How long will it take to the hotel?
233,掛ける,かける,"Verb, Ichidan verb, Transitive verb",to hang up; to make (a call)​;,彼は大きなサングラスをかけている。,He is wearing large sunglasses.
234,書く,かく,"Verb, Godan verb, Transitive verb",to write; to compose; to pen; to draw,何か書くものをお持ちですか。,Do you have something to write with?
235,カメラ,,"Noun, Katakana",camera,彼はカメラを買うつもりはない。,He isn't going to buy a camera.
236,紙,かみ,Noun,paper,彼は汚れた手で紙を触った。,He touched the paper with his dirty hands.
237,漢字,かんじ,Noun,kanji,彼はこの漢字が読めない。,He can't read that kanji.
238,カップ,,"Noun, Katakana",cup,カップにコーヒーをいっぱい入れますね。,I'll put a lot of coffee in the cup.
239,体,からだ,Noun,body,彼女の体はとても細いです。,Her body is very thin.
240,辛い,からい,い-adjective,spicy,あなたは辛い食べ物はへいきですか？,Are you OK with spicy food?
241,カレー,,"Noun, Katakana",curry,あなたはカレーライスを食べたことがありますか？,Have you ever eaten curry and rice before?
242,カレンダー,,"Noun, Katakana",calendar,このカレンダーを貰ってもいいですか？,Can I get this calendar?
243,借りる,かりる,"Verb, Ichidan verb, Transitive verb",to borrow,これをかりることができますか？,Can I borrow this?
244,軽い,かるい,"Adjective, い-adjective",light,私のコートは軽いけど暖かいです。,My overcoat is light but warm.
245,傘,かさ,Noun,umbrella,私は傘をなくした。,I lost my umbrella.
246,貸す,かす,"Verb, Godan verb, Transitive verb",to lend; to loan,お金をかしてください。,Please lend me money.
247,方,かた,Noun,way of doing something,ケーキの作り方を知っていますか？,Do you know how to make a cake?
248,家庭,かてい,Noun,household,彼女はゆうふくなかていに生まれた。,She was born in an affluent household.
249,買う,かう,"Verb, Godan verb, Transitive verb",to buy; to purchase,どこでそれを買えますか？,Where can I buy that?
250,川,かわ,"Noun, Suffix",river; stream​,この川の流れは急だ。,The current of this river is rapid.
251,可愛い,かわいい,"Adjective, い-adjective",cute,彼女はかわいいですね。,She is cute.
252,火曜日,かようび,Noun,Tuesday,火曜日の朝にランニングをします。,I go running on Tuesday mornings.
253,風邪,かぜ,Noun,a cold,彼は風邪を引きやすい。,He is apt to catch cold.
254,風,かぜ,Noun,wind,今朝は風が強いですね。,"Windy this morning, isn't it?"
255,家族,かぞく,Noun,family; members of a family,家族は何人いますか？,How many people are in your family?
256,警官,けいかん,Noun,policeman; police officer,彼はけいかんを見るとすぐににげた。,"As soon as he saw a policeman, he ran away."
257,結婚,けっこん,"Noun, Suru verb",marriage,彼は先月に結婚しました。,He got married last month.
258,結構,けっこう,"Noun, Adverbial Noun, Adjective, な-adjective, Adverb","splendid, enough",私はそれで結構です。,That's fine by me.
259,今朝,けさ,"Noun, Temporal noun",this morning,今朝、朝ご飯を食べませんでした。,I didn't eat breakfast this morning.
260,消す,けす,"Verb, Godan verb, Transitive verb","to erase, to turn off power",そのでんきを消してもいいですか？,Is it OK if I turn off that light?
261,木,き,Noun,tree; shrub; bush; wood; timber,バイトは水木の午後です。,My part time job is on Wednesday and Thursday afternoons.
262,消える,きえる,"Verb, Ichidan verb, Intransitive verb",to disappear,そのデータは消えるかのうせいがあります。,There's a possibility that data may disappear.
263,黄色い,きいろい,"Adjective, い-adjective",yellow,あのきいろい花は何ですか？,What is that yellow flower?
264,聞く,きく,"Verb, Godan verb, Transitive verb",to hear; to listen (to music); to ask; to learn of,何を聞いているのですか。,What are you listening to?
265,昨日,きのう,Noun,yesterday,昨日は何をしましたか？,What did you do yesterday?
266,金曜日,きんようび,Noun,Friday,今週の金曜日にパーティーがありますよ。,There's a party on Friday this week.
267,切符,きっぷ,Noun,ticket,バスにはきっぷがひつようだ。,You must buy a ticket to get on the bus.
268,嫌い,きらい,"Noun, Adjective, な-adjective",hate,私はやくそくを守らない人はきらいです。,I hate people who don't keep their promises.
269,綺麗,きれい,"Adjective, な-adjective",pretty; lovely; beautiful,そこには、きれいな海がありますよ。,The ocean is beautiful there.
270,キログラム,,"Noun, Katakana",kilogram,私のたいじゅうは５８キログラムです。,My weight is 58 kilograms.
