#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
1,浴びる,あびる,"Verb, Ichidan verb, Transitive verb","to bathe, to shower",私はあなたと一緒にシャワーを浴びたい。,I want to have a shower with you.
2,危ない,あぶない,"Adjective, い-adjective",dangerous,あなたは車が危ないと思いますか。,Do you think that car is dangerous?
3,あっち,,Pronoun,over there,私は先に行ってあっちに君を待ちますね。,I'll go first and wait for you there.
4,あちら,,Pronoun,there,トイレはあちらにあります。,The toilet is over there.
5,上げる,あげる,"Verb, Ichidan verb, Transitive verb",to raise; to elevate,研究のレポートを一日で書き上げた。,I wrote my research report in one day.
6,赤,あか,Noun,red; crimson; scarlet​,赤字が修正箇所です。,The writing in red is the corrected places.
7,赤い,あかい,"Adjective, い-adjective",red; crimson; scarlet​,私は赤い服を着ました。,I wore red clothes.
8,明るい,あかるい,"Adjective, い-adjective",bright; light,私の兄はとても明るいです。,My older brother is very cheerful.
9,開ける,あける,"Verb, Ichidan verb, Transitive verb","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",それを開けないでください。,Please do not open that.
10,秋,あき,Noun,autumn; fall,私の一番好きな季節は秋だ。,My favorite season is fall.
11,開く,あく,"Verb, Godan verb, Intransitive verb","to open (e.g. doors, business, etc)",ドアが開いています。,The door is open.
12,甘い,あまい,"Adjective, い-adjective",sweet; sweet-tasting; sugary; naive; indulgent,その先生は点が甘い。,That teacher grades easily.
13,飴,あめ,Noun,candy,その飴の味はどうですか？甘いですか？,How is the taste of that candy? Is it sweet?
14,雨,あめ,Noun,rain,雨が降る前に早く帰りたい。,I want to hurry up and head back before it rains.
15,あなた,,Pronoun,you,あなたのカバンはテーブルの上にありますよ。,Your bag is on the table.
16,姉,あね,Noun,older sister; elder sister​,私の姉は婚約した。,My older sister got engaged.
17,兄,あに,Noun,elder brother; older brother​,兄が今ひどいカゼにかかっている。,My brother is suffering from a bad cold now.
18,あの,,Pre-noun adjectival,that,あの男が帰って来た。,That man came back.
19,青,あお,Noun,blue; azure,フランスの国旗は青、白、赤です。,"The French flag is blue, white and red."
20,青い,あおい,"Adjective, い-adjective",blue; azure,彼は青い服を着ていた。,He was dressed in blue.
21,アパート,,"Noun, Katakana",apartment,私はそのアパートを見に行きたい。,I want to go see that apartment.
22,洗う,あらう,"Verb, Godan verb, Transitive verb",to wash,それを自分で洗うことができます。,I can wash that myself.
23,あれ,,Pronoun,that,あれは何と言いますか？,What is that called?
24,ある,,"Verb, Godan verb, Intransitive verb","to be, to have",私はまだ仕事がある。,I still have work to do.
25,歩く,あるく,"Verb, Godan verb, Intransitive verb",to walk,たいてい歩いて行きます。,I usually go by walking.
26,朝,あさ,Noun,morning,毎日、朝6時に起きる。,I wake up at 6AM every morning.
27,朝ご飯,あさごはん,Noun,breakfast,そろそろ朝ご飯の時間だ。,It's just about breakfast time.
28,明後日,あさって,Noun,day after tomorrow,それは明後日届くと思います。,I think that will arrive the day after tomorrow.
29,足,あし,Noun,foot; leg; paw; arm,彼女の足はきれいですね。,She has beautiful legs.
30,明日,あした,"Noun, Temporal noun",tomorrow,明日東京へ行きます。,I'm going to Tokyo tomorrow.
31,遊ぶ,あそぶ,"Verb, Godan verb, Intransitive verb",to play; to enjoy oneself,私は犬と遊ぶのが好きです。,I like playing with dogs.
32,あそこ,,Pronoun,over there,彼はあそこで何をしているんですか。,What is he doing over there?
33,頭,あたま,Noun,head,頭が痛いときに、この薬を飲んでください。,Take this medicine when you have a headache.
34,新しい,あたらしい,"Adjective, い-adjective",new; novel; fresh; recent; latest,新しい図書館はとても広いです。,The new library is very spacious.
35,暖かい,あたたかい,"Adjective, い-adjective",warm,そちらの天気はどうですか？日本はとても暖かいです。,How is the weather over there? It is very warm in Japan.
36,後,あと,Noun,behind; after; remainder; left; also,この後時間はありますか。,Do you have any time after this?
37,厚い,あつい,"Adjective, い-adjective",thick,私はやさいを厚く切る。,I cut vegetables thickly.
38,暑い,あつい,"Adjective, い-adjective",hot; sultry,あなたの国は暑いですか？,Is your country hot?
39,熱い,あつい,"Adjective, い-adjective",hot,何かあつい飲み物でもいかがですか。,Would you like something hot to drink?
40,会う,あう,"Verb, Godan verb, Intransitive verb",to meet; to encounter; to see,昨日友だちに会いました。,I saw a friend yesterday.
41,晩ご飯,ばんごはん,Noun,dinner; evening meal,私はこれから晩ご飯を食べます。,I'm going to eat dinner from now.
42,番号,ばんごう,Noun,number,私はその番号を忘れてしまいました。,I forgot that number.
43,バス,,"Noun, Katakana",bus,ここはバスが通りますか。,Is this a bus route?
44,バター,,"Noun, Katakana",butter​,彼女はパンにバターをぬった。,She spread the butter on the bread.
45,ベッド,,"Noun, Katakana",bed,君はどっちのベッドを使いたい？,Which bed do you want to use?
